[Header]
; ACMS Data File (default extension .dat)
; Copyright 1999, Quantum Design, Inc. All rights reserved.
TITLE,Y2FeTaO7 ms = 0.0557 mb = 0.0126 moil = 0.0394
FILEOPENTIME,29378891.86,03/18/2026,4:19 pm
BYAPP,ACMS,1.0,1.1
INFO,PPMS ACMS Option Version: 1.0.9 Build 14,APPNAME
INFO,HARMONICS,1
INFO,m_s,0.0557
INFO,m_b,0.0126
INFO,m_oil,0.0394
INFO,formula,Y2Fe+3TaO7
INFO,molm,527.95408
INFO,dia,132.1
INFO,,
INFO,,
INFO,,
INFO,,
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,AC Mag,2,3,4,5,6,8,9,10,11,12
FIELDGROUP,DC Mag,2,3,4,7,8
STARTUPGROUP,All
STARTUPAXIS,X,2,LINEAR,AUTO
TIMEMODE,MINUTES,RELATIVE
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
RECORDS,ALL_RECORDS
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,29385544.39,2.2826612,49998.918,,,0.39582460491234,8.06638203155338E-6,,,,,,,,,5,25,0,14.5930000813678,-0.0945662043935677,0.00187350412916161,4374,0,2.2800241,2.2852983,49998.918,49998.918,-0.120482477933759,2.2412,,,,,,,,,,,,,,,,,,,,,,,2.2826612
,29385983.93,2.2876383,34999.332,,,0.312955252260449,8.05160998487323E-6,,,,,,,,,5,25,0,7.65599976293743,-0.0945662043935677,0.00148592077407442,4369,0,2.2756586,2.299618,34999.332,34999.332,-0.117828995198985,2.26305,,,,,,,,,,,,,,,,,,,,,,,2.2876383
,29386421.64,2.2898427,19997.604,,,0.208228646936153,7.35051772572227E-6,,,,,,,,,5,25,0,7.56200007162988,-0.0945662043935677,0.000998183403507478,4369,0,2.2796955,2.2999899,19997.604,19997.604,-0.116653476854974,2.27185,,,,,,,,,,,,,,,,,,,,,,,2.2898427
,29386856.95,2.2861407,4999.858,,,0.0709665590438295,6.84371140012686E-6,,,,,,,,,5,25,0,7.375000230968,-0.0945662043935677,0.000370038880519315,4369,0,2.274179,2.2981024,4999.858,4999.858,-0.113734285104492,2.28395,,,,,,,,,,,,,,,,,,,,,,,2.2861407
,29386927.67,2.28767765,4499.888,,,0.0656114172047376,5.29356712722657E-6,,,,,,,,,10,25,0,11.3749999087304,-0.0945662043935677,0.000345030861512889,4373,0,2.2765288,2.2988265,4499.888,4499.888,-0.107928866808857,2.28675,,,,,,,,,,,,,,,,,,,,,,,2.28767765
,29387010.32,2.27962665,149.841,,,0.00874485702746891,3.96569411084289E-6,,,,,,,,,10,25,0,11.0619999468327,-0.0945662043935677,8.08866255320683E-5,4373,0,2.2635179,2.2957354,149.841,149.841,-0.103092783638422,2.2802,,,,,,,,,,,,,,,,,,,,,,,2.27962665
,29387071.68,2.28345025,100.157,,,0.00688577943791949,4.37969772774593E-6,,,,,,,,,10,25,0,11.4839996444061,-0.0945662043935677,7.25557619799011E-5,4421,0,2.2679384,2.2989621,100.108,100.206,-0.104398608015253,2.28215,,,,,,,,,,,,,,,,,,,,,,,2.28345025
,29387112.61,2.2847648,-99.765,,,-0.00445191981571955,4.21508824823718E-6,,,,,,,,,10,25,0,11.3280000630766,-0.0945662043935677,6.20277561713328E-5,4421,0,2.2730966,2.296433,-99.805,-99.725,-0.103060565723843,2.2837,,,,,,,,,,,,,,,,,,,,,,,2.2847648
,29387538.08,2.28504645,5000.106,,,0.0711472164260858,4.21284509582339E-6,,,,,,,,,10,25,0,11.2969998037443,-0.0945662043935677,0.000368514846428246,4369,0,2.2721972,2.2978957,5000.106,5000.106,-0.104461000781351,2.2845,,,,,,,,,,,,,,,,,,,,,,,2.28504645
,29387815.76,6.5278685,5000.106,,,0.0635530287361861,4.27901075679279E-6,,,,,,,,,10,25,0,11.2030001124367,-0.0945662043935677,0.000333353640802001,4369,0,6.5232606,6.5324764,5000.106,5000.106,-0.104237817347713,6.53245,,,,,,,,,,,,,,,,,,,,,,,6.5278685
,29388348.37,10.76985025,5000.106,,,0.0516422260336528,4.53564064349293E-6,,,,,,,,,10,25,0,11.1090004211292,-0.0945662043935677,0.000277435399213793,4369,0,10.7670689,10.7726316,5000.106,5000.106,-0.102753997348087,10.7605,,,,,,,,,,,,,,,,,,,,,,,10.76985025
,29388664.93,15.0069585,5000.106,,,0.0445136570027573,5.49711049005928E-6,,,,,,,,,10,25,0,11.3599998643622,-0.0945662043935677,0.000247461499852741,4369,0,15.0069151,15.0070019,5000.106,5000.106,-0.104050065998109,14.9972,,,,,,,,,,,,,,,,,,,,,,,15.0069585
,29388839.39,16.00404075,5000.106,,,0.0433196967236432,4.45205845343588E-6,,,,,,,,,10,25,0,11.4839996444061,-0.0945662043935677,0.000238791833475603,4369,0,16.0012627,16.0068188,5000.106,5000.106,-0.099626180294222,15.9955,,,,,,,,,,,,,,,,,,,,,,,16.00404075
,29389112.06,24.4879732,5000.106,,,0.0360942684837768,4.61467969817229E-6,,,,,,,,,10,25,0,11.7190001299605,-0.0945662043935677,0.000206019099695797,4369,0,24.4856205,24.4903259,5000.106,5000.106,-0.100479026793274,24.5072,,,,,,,,,,,,,,,,,,,,,,,24.4879732
,29389383.21,32.99231915,5000.106,,,0.0319236603178142,5.30611533228325E-6,,,,,,,,,10,25,0,11.3749999087304,-0.0945662043935677,0.000186302782514812,4369,0,32.986908,32.9977303,5000.106,5000.106,-0.103184210359518,33.00245,,,,,,,,,,,,,,,,,,,,,,,32.99231915
,29389884.20,41.51572605,5000.106,,,0.0291939034408342,5.64053875453393E-6,,,,,,,,,10,25,0,10.6870000949129,-0.0945662043935677,0.000172690699575978,4369,0,41.5073814,41.5240707,5000.106,5000.106,-0.104792855293006,41.4862,,,,,,,,,,,,,,,,,,,,,,,41.51572605
,29390423.08,50.02077105,5000.106,,,0.027312930667925,5.62488251558155E-6,,,,,,,,,10,25,0,11.3899999530986,-0.0945662043935677,0.000164404227820735,4369,0,50.0145226,50.0270195,5000.106,5000.106,-0.101635904086173,49.9691,,,,,,,,,,,,,,,,,,,,,,,50.02077105
,29390920.47,55.02638055,5000.106,,,0.0264120965082832,5.55787265175177E-6,,,,,,,,,10,25,0,10.766000370495,-0.0945662043935677,0.00016059845850876,4369,0,55.0166588,55.0361023,5000.106,5000.106,-0.101361769941056,54.9573,,,,,,,,,,,,,,,,,,,,,,,55.02638055
,29391457.82,70.0436134,5000.106,,,0.0244144298501441,5.38211179178854E-6,,,,,,,,,10,25,0,10.7500001555309,-0.0945662043935677,0.000151167421213415,4369,0,70.0302429,70.0569839,5000.106,5000.106,-0.0933954818923286,69.9782,,,,,,,,,,,,,,,,,,,,,,,70.0436134
,29391934.18,85.03617095,5000.106,,,0.0229303389647635,5.53779901250548E-6,,,,,,,,,10,25,0,11.9679998606443,-0.0945662043935677,0.000144999493254993,4369,0,85.0198135,85.0525284,5000.106,5000.106,-0.0925035574804526,84.99465,,,,,,,,,,,,,,,,,,,,,,,85.03617095
,29392417.03,99.94141765,5000.106,,,0.0217787167300708,5.62803941652322E-6,,,,,,,,,10,25,0,11.7030005436391,-0.0945662043935677,0.000139873679735938,4369,0,99.9295959,99.9532394,5000.106,5000.106,-0.0924537987860473,99.99755,,,,,,,,,,,,,,,,,,,,,,,99.94141765
,29392824.77,104.96258925,5000.106,,,0.0214370758193672,5.58373933685493E-6,,,,,,,,,10,25,0,11.0619999468327,-0.0945662043935677,0.000137967511739931,4369,0,104.9491272,104.9760513,5000.106,5000.106,-0.0927519964163212,105.0479,,,,,,,,,,,,,,,,,,,,,,,104.96258925
,29393705.74,169.94180295,5000.106,,,0.0181330101848224,5.76166788991128E-6,,,,,,,,,10,25,0,11.2340003717691,-0.0945662043935677,0.000122714281859075,4369,0,169.9361572,169.9474487,5000.106,5000.106,-0.092705040699232,170.23945,,,,,,,,,,,,,,,,,,,,,,,169.94180295
,29394744.51,235.0210724,5000.106,,,0.0156998683933984,5.90461271236689E-6,,,,,,,,,10,25,0,11.3749999087304,-0.0945662043935677,0.000111100640232661,4369,0,234.9939728,235.048172,5000.106,5000.106,-0.0929823614793057,236.2901,,,,,,,,,,,,,,,,,,,,,,,235.0210724
,29395967.45,299.90271,5000.106,,,0.0136379423389864,6.27463478160508E-6,,,,,,,,,10,25,0,11.1250000074506,-0.0945662043935677,0.000101218807360031,4369,0,299.8916016,299.9138184,5000.106,5000.106,-0.112318043514287,301.5936,,,,,,,,,,,,,,,,,,,,,,,299.90271
